Complexity,Loss,Equation
1,0.48494536397942406,"-2.5893699841330406e-5"
3,0.48334412020260265,"(x3 * -3.7927481456669506e-8)"
4,0.45065302825804027,"(cube(x1) / -2402.64213087723)"
6,0.4395573272157999,"(cube(x1 - -0.3627694860681695) / -2402.64213087723)"
9,0.4250492689366959,"(cube((x1 * sqrt(x3)) / x2) / -0.14415997546091988)"
11,0.42429076572650215,"(cube((x1 * sqrt(x3)) / (x2 - -0.4898017303489274)) / -0.14415997546091988)"
13,0.42207994271024374,"(cube((x1 * sqrt(x3)) / (x2 - (-0.22849755066256397 + -3.3354680362028293))) / -0.14415997546091988)"
18,0.40955979496215444,"(cube(x1 * 0.9737038764374064) / (cube(cube(cube(-1.283453072119107)) - -2.6321185346773976) - (square(x1 - 0.9737038764374064) * 2.035508014178224)))"
20,0.40950176561382906,"(cube(x1 * 0.9737038764374064) / ((cube(cube(cube(-1.283453072119107)) - -2.6321185346773976) - (square(x1 - 0.9737038764374064) * 2.035508014178224)) + -1.7869273579988485))"
